,words
2102,dollar
2103,really
2104,talk
2105,hunter
2106,talk
2107,hunter
2108,beau
2109,hunter
2110,hunter
2111,get
2112,throw
2113,military
2114,throw
2115,dishonorably
2116,discharge
2117,cocaine
2118,use
2119,job
2120,become
2121,vice
2122,president
2123,become
2124,vice
2125,president
2126,fortune
2127,ukraine
2128,china
2129,moscow
2130,various
2131,place
2132,fortune
2133,job
2134,give
2135,ten
2136,million
2137,dollar
2138,somebody
2139,get
2140,three
2141,half
2142,million
2143,dollar
2144,mayor
2145,moscow
2146,get
2147,crystal
2148,clean
2149,water
2150,air
2151,beautiful
2152,clean
2153,air
2154,lowest
2155,look
2156,number
2157,right
2158,phenomenally
2159,destroy
2160,business
2161,business
2162,put
2163,commission
2164,look
2165,paris
2166,accord
2167,disaster
2168,standpoint
2169,people
2170,actually
2171,happy
2172,business
2173,well
2174,far
2175,fire
2176,concern
2177,need
2178,forest
2179,management
2180,addition
2181,everything
2182,else
2183,forest
2184,floor
2185,load
2186,tree
2187,dead
2188,tree
2189,year
2190,old
2191,like
2192,tinder
2193,leave
2194,everything
2195,else
2196,drop
2197,cigarette
2198,whole
2199,forest
2200,burn
2201,get
2202,forest
2203,management
2204,believe
2205,everything
2206,immaculate
2207,air
2208,immaculate
2209,water
2210,whatever
2211,else
2212,good
2213,plant
2214,billion
2215,tree
2216,billion
2217,tree
2218,project
2219,excite
2220,lot
2221,people
2222,lot
2223,extent
2224,yes
2225,extent
2226,yes
2227,also
2228,better
2229,management
2230,forest
2231,every
2232,year
2233,get
2234,call
2235,california
2236,burn
2237,california
2238,burn
2239,clean
2240,forest
2241,management
2242,good
2243,forest
2244,management
2245,get
2246,call
2247,europe
2248,live
2249,forest
2250,city
2251,call
2252,forest
2253,city
2254,maintain
2255,forest
2256,manage
2257,forest
2258,head
2259,major
2260,country
2261,forest
2262,city
2263,sir
2264,tree
2265,far
2266,ignite
2267,much
2268,easier
2269,california
2270,problem
2271,speak
2272,governor
2273,get
2274,along
2275,well
2276,governor
2277,point
2278,every
2279,year
2280,hundred
2281,thousand
2282,acre
2283,land
2284,burn
2285,grind
2286,burn
2287,lack
2288,management
2289,drive
2290,energy
2291,price
2292,sky
2293,well
2294,really
2295,happen
2296,car
2297,much
2298,le
2299,expensive
2300,much
2301,safer
2302,car
2303,talk
2304,tiny
2305,difference
2306,would
2307,happen
2308,cost
2309,car
2310,would
2311,least
2312,double
2313,triple
2314,number
2315,car
2316,purchase
2317,old
2318,slug
2319,year
2320,old
2321,car
2322,would
2323,safer
2324,would
2325,much
2326,cheaper
2327,would
2328,lot
2329,car
2330,market
2331,people
2332,would
2333,able
2334,afford
2335,car
2336,turn
2337,lot
2338,people
2339,agree
2340,many
2341,people
2342,car
2343,get
2344,expensive
2345,computer
2346,place
2347,extra
2348,little
2349,bite
2350,gasoline
2351,okay
2352,electric
2353,car
2354,electric
2355,car
2356,give
2357,big
2358,incentive
2359,electric
2360,car
2361,do
2362,california
2363,crazy
2364,true
2365,true
2366,talk
2367,green
2368,new
2369,deal
2370,billion
2371,crosstalk
2372,billion
2373,crosstalk
2374,trillion
2375,rebuild
2376,build
2377,dumbest
2378,ridiculous
2379,crosstalk
2380,two
2381,car
2382,system
2383,cow
2384,true
2385,either
2386,right
2387,trillion
2388,money
2389,country
2390,could
2391,year
2392,crosstalk
2393,million
2394,dollar
2395,never
2396,lot
2397,wait
2398,minute
2399,chris
2400,year
2401,vice
2402,president
2403,get
2404,china
2405,send
2406,real
2407,dirt
2408,air
2409,russia
2410,india
2411,suppose
2412,good
2413,couple
2414,statement
2415,green
2416,new
2417,deal
2418,hundred
2419,trillion
2420,dollar
2421,statement
2422,military
2423,something
2424,military
2425,friend
2426,never
2427,call
2428,military
2429,stupid
2430,bastard
2431,tape
2432,crosstalk
2433,would
2434,never
2435,crosstalk
2436,tape
2437,oh
2438,oh
2439,well
2440,big
2441,statement
2442,lose
2443,radical
2444,leave
2445,listen
2446,joe
2447,talk
2448,transition
2449,transition
2450,election
2451,look
2452,crook
2453,hillary
2454,clinton
2455,look
2456,different
2457,people
2458,transition
2459,come
2460,try
2461,coup
2462,come
2463,spy
2464,campaign
2465,start
2466,day
2467,even
2468,day
2469,come
2470,escalator
2471,first
2472,lady
2473,disaster
2474,disgrace
2475,country
2476,catch
2477,catch
2478,get
2479,tape
2480,catch
2481,give
2482,idea
2483,logan
2484,act
2485,general
2486,flynn
2487,better
2488,look
2489,catch
2490,sense
2491,president
2492,obama
2493,sit
2494,office
